40944	0	66	1	kosicky kraj, kosice - zapad	2012-04-17 19:59:00.0	2008-11-25 00:00:00.0	25	178 cm, 72 kg	null	nemecky  vlastny	sportovanie, cestovanie, turistika	v prirode	pes	priemerna	vyborny	hnede	hnede	kratke	stredoskolske s maturitou	null	fajcim pravidelne	pijem prilezitostne	blizenci	ludi co su sami sebou	zmysel zivota	nemam ho preco vyhladavat!!!!!!!!!!!!!!	niekto kto neklame a vie co chce	zadany	zatial nemam ziadne	ok	akcne, horory, komedie, vojnove	v dobrom kolektive ludi	v podstate vsedko co sa da pocuvat	kedykolvek a kdekolvek	mat okolo seba uzastnych ludi	vlastnej	null	nie	plavanie	plavanie, ak sa k tomu dostanem niekedy	null	nemam rad knihy vobec	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
945120	0	48	1	zilinsky kraj, martin	2012-05-17 22:14:00.0	2010-02-14 00:00:00.0	0	180 cm, 75 kg	stavebnictva	anglicky, rusky	sportovanie, praca s pc, sex	z partnerovho bruska, v posteli, pri telke	null	vysportovana	vyborny	hnede	hnede	na jezka	stredoskolske	biela, zlta, oranzova, cierna	nefajcim	abstinent	kozorozec	null	null	null	null	null	null	null	komedie, akcne, sci-fi, eroticke	u priatela, priatelky	null	null	null	slovenskej	null	null	hokej, futbal	hokej, auto-moto sporty, futbal	zivnostnik	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1102509	0	28	1	trnavsky kraj, piestany	2012-05-25 15:16:00.0	2006-05-15 00:00:00.0	30	178 cm	null	null	null	null	null	null	null	hnede	cierne	kratke	null	null	null	null	ryby	niekoho na chatovanie, dobreho priatela, priatelku	null	null	null	slobodny(a)	null	null	null	null	null	kedykolvek a kdekolvek	null	null	null	null	lyzovanie	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1079812	1	69	0	presovsky kraj, snina	2012-05-25 11:03:00.0	2009-02-17 00:00:00.0	14	145 cm, 40 kg	studujem	slovensky,anglicky, nemecky	pc hry, pozeranie filmov, kupalisko, nakupovanie, surfovanie po webe, pocuvanie hudby, priatelia, citanie, spanie	pri svieckach s partnerom, v dobrej restauracii, pri telke	pes	chuda	null	hnede	hnede	rovne, , dlhe	zakladne	cierna, fialova, zlta	nefajcim	abstinent	baran	niekoho na chatovanie	v laske som sa sklamal(a), preto som velmi opatrny(a), laska je zakladom vyrovnaneho sexualneho zivota, romanticka laska nie je pre mna, davam prednost realite	nedokazem mat s niekym sex bez lasky, sex mozem mat iba s niekym, koho dobre poznam, to skutocne zalezi len na okolnostiach	mojou chybajucou polovickou, moj najlepsi priatel, laskou mojho zivota, hlavne dobry milenec, hlavne spolocensky typ	null	v buducnosti chcem mat	chcem mat len jedno dieta	akcne, komedie, muzikaly, rodinne, serialy	v kine, u priatela, priatelky, doma z gauca	pop, rock, metal	kedykolvek a kdekolvek, na posteli	pri svieckach s partnerom, pozerat dobry film v tv, s kamaratmi do baru, ist do kina alebo divadla	slovenskej	null	zriedkavo	basketbal, hadzana, plavanie, volejbal	null	null	null	null	<div> <a title="vstup do klubu" href="/klub/inna-2">inna ♥</a> &bull;  <a title="vstup do klubu" href="/klub/metallica-2">♥♥♥metalli&shy;ca♥♥♥</a> &bull;  <a title="vstup do klubu" href="/klub/recent-fate-funs">recent fate funs</a> </div>	null	null	<div> <a title="vstup do klubu" href="/klub/vsetci-vravia-ze-cenne-veci-do-skoly-nepatria-tak-naco-tam-chodime-my">vsetci vravia ze cenne veci do skoly nepatria tak naco tam chodime my?</a> </div>	null	null	null	null	null	null	<div> <a title="vstup do klubu" href="/klub/twilight-saga-usvit-3">twilight saga: usvit</a> </div>	null	null	null	<div> <a title="vstup do klubu" href="/klub/si-naj-cloviecik-na-tomto-svete-a-prezo-ta-pozyyvam-do-teehle-skupiny-d">si naj cloviecik na tomto svete a preto ta pozyyvam do teehle skupiny =d =*</a> &bull;  <a title="vstup do klubu" href="/klub/zivot-je-boj-zivot-je-svina">zivot je boj, zivot je svina</a> </div>	
215431	1	12	1	kosicky kraj, spisska nova ves	2012-05-21 10:52:00.0	2005-06-01 00:00:00.0	25	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
595311	1	81	0	presovsky kraj, hanusovce nad toplou	2012-05-11 13:55:00.0	2008-02-10 00:00:00.0	0	167 cm, 50 kg	jamaica :d	sarisky :d ,anglicky, francuzsky nebirujem a spanielsky tiz ne	pozeranie filmov, kupalisko, party, spanie, nakupovanie, stanovanie, fotografovanie, cestovanie, surfovanie po webe, pocuvanie hudby, malovanie, kino, priatelia	doma, v dobrej restauracii , pri telke	nemam ziadne....mam brata ked tak uz	null	dobbry :)) ....asi	zeleno hnede ;)	zatial rysave :d	dlhe z offinkou :d	skolka :)	modra, cierna, zelena, oranzova, biela, cervena	error	error	vodnar	dobreho priatela, priatelku, niekoho na chatovanie, udrzujem vztahy s priatelmi	nie je nic lepsie, ako byt zamilovany(a)	to skutocne zalezi len na okolnostiach	moj najlepsi priatel	zadana	mozno	bojim sa ich :d	komedie, akcne, horory, romanticke	v kine, doma z gauca, u kamosky,na nete	reggae,hip-hop,rock,stary rock,hard rock,punk,disco..proste vsetko :)))	v skole cez hodiny :d...na party,na posteli, pri chodzi, kedykolvek a kdekolvek, a cez laptop	surfovat na sieti a chatovat, pocuvat dobru hudbu, ist do kina, pozerat dobry film v tv,ist von ;d alebo do kamosky :)	slovenskej, mnaaaam :d	<div> <a title="vstup do klubu" href="/klub/ked-si-bol-maly-rodicia-ta-naucily-chodit-a-rozpravat-a-teraz-chcu-aby-si-bol-doma-a-drzal-hubu">ked si bol maly rodicia ta naucily chodit a rozpravat a teraz chcu aby si bol doma a drzal hubu</a> &bull;  <a title="vstup do klubu" href="/klub/piatkowe-akcie-p">piatkowe akcie ! :p</a> &bull;  <a title="vstup do klubu" href="/klub/smiech-je-moa-droga-a-priatelia-mojii-dilery">smiech je moa droga, a priatelia mojii dilery!!!</a> &bull;  <a title="vstup do klubu" href="/klub/nemam-problem-sustredit-sa-len-woow-ci-pana-vevericka">nemam problem sustredit sa len... woow ci pana vevericka !!!</a> &bull;  <a title="vstup do klubu" href="/klub/zaaabavaaa-a-smiech-je-moj-zivooot-p">zaaabavaaa a smiech je moj zivooot =p</a> &bull;  <a title="vstup do klubu" href="/klub/mariska-a-joint-xd">mariska a joint.....&shy;xd....</a> &bull;  <a title="vstup do klubu" href="/klub/na-pociatku-boh-stvoril-nebo-a-zem-ostatne-je-made-in-china-dd">na pociatku boh stvoril  nebo a zem. ostatne je made in china...=d&shy;d</a> &bull;  <a title="vstup do klubu" href="/klub/kto-miiiluje-cokolaadu-ma-miesto-tuuu">kto miiiluje cokolaadu ma miesto tuuu</a> &bull;  <a title="vstup do klubu" href="/klub/92-teenagerov-by-plakalo-keby-videli-miley-cyrus-ako-skace-z-mrakodrapu-ak-patris-medzi-zvisnych-8-ktory-by-si-vzali-popcorn-a-krycali-salto-salto-pod-do-tocho-klubu">92&#37; teenagerov by plakalo keby videli miley cyrus ako skace z mrakodrapu, ak patris medzi zvisnych 8&#37;  ktory by si vzali popcorn a krycali salto, salto ... pod do tocho klubu!!!</a> &bull;  <a title="vstup do klubu" href="/klub/nic-sa-ti-nedari-nic-ti-nejde-sadni-si-na-dialnicu-ved-ono-ta-to-prejde-d">nic sa ti nedari?nic ti nejde?sadn&shy;i si na dialnicu,ved ono ta to prejde.=d</a> &bull;  <a title="vstup do klubu" href="/klub/to-nieje-sranda-to-je-haluuuuz">to nieje sranda to je haluuuuz:d</a> &bull;  <a title="vstup do klubu" href="/klub/milujem-nekonecneeeeeee-zachvaty-smiechu-dddd-a-ludi-s-ktorymi-ich-zazivaaaaaaam">milujem nekonecnee&shy;eeeee zachvaty smiechu =dddd a ludi, s ktorymi ich zazivaaaaa&shy;aam=))</a> &bull;  <a title="vstup do klubu" href="/klub/chcelo-by-to-bongo">chcelo by to bongo !</a> &bull;  <a title="vstup do klubu" href="/klub/ano-nadavam">ano, nadavam...&shy;..</a> &bull;  <a title="vstup do klubu" href="/klub/stojis-si-na-kabli-nie-ja-som-cez-wi-fi">-&quot;stojis si na kabli??&quot;-.&shy;...-&quot;nie ja som cez wi-fi&quot;-</a> &bull;  <a title="vstup do klubu" href="/klub/xp-pit-sice-budem-ale-fajcit-neprestanem-xp">xp pit sice budem, ale fajcit neprestane&shy;m! xp</a> &bull;  <a title="vstup do klubu" href="/klub/just-give-me-som-weed-3-d">just give me som weed &lt;3 :d</a> </div>	null	nic moc ..som lenoch:)	hokej ! :) a futbal niekdy ;)	null	null	<div> <a title="vstup do klubu" href="/klub/piercing-tetovanie">piercing § tetovanie</a> &bull;  <a title="vstup do klubu" href="/klub/milujem-ten-pocit-ked-mam-sluchadla-v-usiach-a-nevnimam-okolity-svet">milujem ten pocit, ked mam sluchadla v usiach...a nevnimam okolity svet :-))</a> &bull;  <a title="vstup do klubu" href="/klub/nikdy-sa-neprestan-smiat-a-usmievat-uz-len-preto-ze-smiech-lieci-ddd">nikdy sa neprestan smiat a usmievat uz len preto, ze smiech lieci =ddd</a> &bull;  <a title="vstup do klubu" href="/klub/retardi-sem-xd-kto-dostava-znicoho-nic-vibuch-smiechu-seem-p">retardi sem!xd kto dostava znicoho nic vibuch smiechu seem! :p</a> &bull;  <a title="vstup do klubu" href="/klub/i-love-pizza-1">i love pizza :)</a> &bull;  <a title="vstup do klubu" href="/klub/3-rasta-3">&lt;3 rasta &lt;3</a> </div>	<div> <a title="vstup do klubu" href="/klub/music-is-my-life">music is my life</a> &bull;  <a title="vstup do klubu" href="/klub/linkin-park">linkin park</a> &bull;  <a title="vstup do klubu" href="/klub/bob-marley-the-legend">bob marley the legend</a> &bull;  <a title="vstup do klubu" href="/klub/milujem-rock-and-roll">milujem rock and roll :)</a> &bull;  <a title="vstup do klubu" href="/klub/i-love-guitar">i love guitar!!! :)</a> &bull;  <a title="vstup do klubu" href="/klub/pacia-sa-nam-vsetky-hudobne-styly-d">**pacia sa nam vsetky hudobne styly** :d</a> &bull;  <a title="vstup do klubu" href="/klub/reggae-2">♫ reggae ™</a> &bull;  <a title="vstup do klubu" href="/klub/damian-marley">♥♥♥ damian marley ♥♥♥</a> &bull;  <a title="vstup do klubu" href="/klub/bob-marley-ganja-rasta-i-jamajka">bob marley !!! ♥ ganja !!! rasta !!!  i ♥ jamajka</a> &bull;  <a title="vstup do klubu" href="/klub/michal-seps-2">♥michal seps♥</a> &bull;  <a title="vstup do klubu" href="/klub/reggae-styl">reggae styl</a> </div>	null	null	<div> <a title="vstup do klubu" href="/klub/smejem-sa-nawzdy">smejem sa nawzdy !</a> &bull;  <a title="vstup do klubu" href="/klub/smiech-je-moja-droga-priatelia-su-moji-dealeri">smiech je moja droga, priatelia su moji dealeri =))</a> </div>	<div> <a title="vstup do klubu" href="/klub/ucitelia-tomu-hovoria-opisovanie-a-my-tomu-hovorime-timova-praca-xd">ucitelia tomu hovoria opisovanie a my tomu hovorime - timova praca ... xd</a> </div>	<div> <a title="vstup do klubu" href="/klub/smoke-weed-every-day">smoke weed every day :)</a> &bull;  <a title="vstup do klubu" href="/klub/zivot-nam-dost-dava-a-dava-nam-to-rad-preco-aby-nam-raz-mohol-zasa-vsetko-vziat">zivot nam dost dava a dava nam to rad. preco? aby nam raz mohol zasa vsetko vziat ...</a> &bull;  <a title="vstup do klubu" href="/klub/napi-sa-vody-prekvapis-pecen-d">napi sa vody...pre&shy;kvapis pecen :d</a> &bull;  <a title="vstup do klubu" href="/klub/sme-debily-a-co-d">sme debily...a co?:d</a> &bull;  <a title="vstup do klubu" href="/klub/naaramkomania_xddd">naaramkoma&shy;nia_xddd</a> &bull;  <a title="vstup do klubu" href="/klub/nech-ziju-muchy-tje-seru-na-vsetko-d">nech ziju muchy..! tje seru na vsetko :d</a> </div>	null	null	null	<div> <a title="vstup do klubu" href="/klub/skejtaaci-d-p">skejtaaci :d:p</a> &bull;  <a title="vstup do klubu" href="/klub/i-skate">i ♥ skate</a> &bull;  <a title="vstup do klubu" href="/klub/pearcing-do-jazyka-3">pearcing do jazyka...:&shy;) &lt;3</a> </div>	<div> <a title="vstup do klubu" href="/klub/preco-pit-a-jazdit-ked-mozes-hulit-a-lietat">preco pit a jazdit....&shy;. ked mozes hulit a lietat?</a> </div>	null	<div> <a title="vstup do klubu" href="/klub/mariska-d-d-mnam">mariska...&shy;.:d:d mnam</a> &bull;  <a title="vstup do klubu" href="/klub/piwkooooo-xd">piwkooooo xd</a> &bull;  <a title="vstup do klubu" href="/klub/alkohol-lieci-d">alkohol lieci :)) :d</a> </div>	null	<div> <a title="vstup do klubu" href="/klub/gratulujem-svojim-rodicom-ze-maju-take-sikovne-dieta-ako-som-ja-d-d">gratulujem svojim rodicom ze maju take sikovne dieta ako som ja :d:d</a> &bull;  <a title="vstup do klubu" href="/klub/vychodnare-sem">vychodnare sem !</a> &bull;  <a title="vstup do klubu" href="/klub/reggea-love-sun-peace-and-weed">! reggea, love, sun, peace, and weed !</a> </div>	
617266	0	69	1	kosicky kraj, sobrance	2012-05-24 08:29:00.0	2008-05-31 00:00:00.0	0	175 cm	null	anglicky, rusky	pc hry, sportovanie, party, priatelia, diskoteky, pocuvanie hudby, praca s pc	pri telke	mam macku	priemerna	vyborny	hnede	hnede	kratke	zakladne skoro:d	fialova, cierna	nefajcim	abstinent	rak	dobreho priatela, priatelku, udrzujem vztahy s priatelmi	nie je nic lepsie, ako byt zamilovany(a)	null	null	null	null	v buducnosti chcem mat deti	vojnove, komedie, akcne, horory, kasove trhaky	u priatela, priatelky, doma z gauca	hip-hop, rap, disko	kedykolvek a kdekolvek	s kamaratmi do baru, pozerat dobry film v tv, surfovat na sieti a chatovat	slovenskej, talianskej	null	null	hokej, kolieskove korcule, pingpong, futbal, korculovanie, volejbal, basketbal, baseball	baseball, bedminton, bojove sporty, clnkovanie, veslovanie, golf, hokej, lyzovanie, posilnovanie, skateboarding, tenis, surfing, snowboarding, rafting, plavanie, horolezectvo, hadzana, bowling, biliard, snooker, auto-moto sporty	null	null	<div> <a title="vstup do klubu" href="/klub/srdcom-vychodniar-2">srdcom vychodniar</a> &bull;  <a title="vstup do klubu" href="/klub/city-hornaa">city hornaa =*</a> </div>	<div> <a title="vstup do klubu" href="/klub/trance-and-progressive">trance and progressiv&shy;e</a> &bull;  <a title="vstup do klubu" href="/klub/ine-kafe-5">♥♥♥ine kafe♥♥♥</a> </div>	null	null	<div> <a title="vstup do klubu" href="/klub/llaska-boli">llaska boli</a> &bull;  <a title="vstup do klubu" href="/klub/clovek-nedokaze-ukryt-dve-veci-ze-je-opity-a-ze-je-zamilovany">clovek nedokaze ukryt dve veci:ze je opity a ze je zamilovany</a> </div>	null	<div> <a title="vstup do klubu" href="/klub/love-5">love &lt;3</a> </div>	null	null	<div> <a title="vstup do klubu" href="/klub/deviataci">deviataci</a> </div>	<div> <a title="vstup do klubu" href="/klub/gameart-eu-tvoj-herny-portal">gameart.eu | tvoj herny portal</a> </div>	null	null	null	null	<div> <a title="vstup do klubu" href="/klub/susmievaj-sa-na-toho-kto-ta-najviac-zranil-aby-nevidel-ako-ta-to-boli">¦usmievaj sa na toho kto ta najviac zranil, aby nevidel ako ta to boli...</a> &bull;  <a title="vstup do klubu" href="/klub/odpustip-ale-nikdy-nezabudnem">odpustip,ale nikdy nezabudnem :(</a> &bull;  <a title="vstup do klubu" href="/klub/milujeeeeeem-leto">milujeeeee&shy;em leto</a> </div>	
1024141	1	12	1	bratislavsky kraj, bratislava - stare mesto	2012-05-25 17:06:00.0	2012-02-06 00:00:00.0	31	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
979658	0	12	0	trenciansky kraj, trencin	2011-12-15 20:38:00.0	2005-10-13 00:00:00.0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
746573	0	78	0	trnavsky kraj, hlohovec	2012-04-19 20:21:00.0	2009-07-09 00:00:00.0	10	140 cm, 21 kg	null	anglicky	surfovanie po webe, pocuvanie hudby, tancovanie, kupalisko, chodenie do muzei	pri telke, v prirode	mam psa	priemerna	vyborny	hnede	blond	po plecia	null	farebna,fialova,zlta,ruzova	nefajcim	nepijem vobec	vodnar	niekoho na chatovanie	null	null	moj najlepsi priatel	null	null	v buducnosti chcem mat deti	komedie, romanticke, rodinne, serialy, muzikaly, historicke	v kine, doma z gauca, u priatela, priatelky	rock, disko, hip-hop, muzikaly	na posteli, v aute, vo vani, na dobru noci, na koncerte	null	slovenskej	<div> <a title="vstup do klubu" href="/klub/shrek-zvoniec-a-koniec-super-rozpravka">shrek zvoniec a koniec super rozpravka =)</a> &bull;  <a title="vstup do klubu" href="/klub/naznasam-hannah-montana-a-ani-miley-cyrus">naznasam hannah montana a ani miley cyrus</a> &bull;  <a title="vstup do klubu" href="/klub/super-zajaci">super zajaci</a> &bull;  <a title="vstup do klubu" href="/klub/rozbalovat-darceky-d">rozbalovat darceky :d</a> &bull;  <a title="vstup do klubu" href="/klub/pet-shop">pet shop</a> &bull;  <a title="vstup do klubu" href="/klub/mam-vas-rada-sup-sem-hehe-dddd">mam vas rada sup sem hehe:dddd</a> &bull;  <a title="vstup do klubu" href="/klub/vtipy-iba-pre-tich-co-su-smiechovo-nadani">vtipy iba pre tich co su smiechovo nadani</a> </div>	raz za mesiac	kolieskove korcule, korculovanie, plavanie	hoke,krasokorculovanie	null	rozpravky, o zabave, hry, humor	<div> <a title="vstup do klubu" href="/klub/pizza">pizza</a> &bull;  <a title="vstup do klubu" href="/klub/spagety">spagety</a> &bull;  <a title="vstup do klubu" href="/klub/mnam-pizza-1">mnam pizza</a> </div>	<div> <a title="vstup do klubu" href="/klub/shakira-waka-waka-8">shakira-wa&shy;ka waka :-**</a> &bull;  <a title="vstup do klubu" href="/klub/bieli-zajo-a-super-hudba-a-sneh-a-vianoce">bieli zajo a super hudba a sneh a vianoce</a> &bull;  <a title="vstup do klubu" href="/klub/bieli-zajo-a-super-hudba-a-vianoce">bieli zajo a super hudba a vianoce</a> &bull;  <a title="vstup do klubu" href="/klub/selena-games-a-vianocne-piesne">selena games a vianocne piesne</a> &bull;  <a title="vstup do klubu" href="/klub/selena-games-a-vianocne-vianoce">selena games a vianocne vianoce</a> &bull;  <a title="vstup do klubu" href="/klub/selena-gomez-let-s-gov-trejzi">selena gomez let s gov  trejzi</a> &bull;  <a title="vstup do klubu" href="/klub/selena-gomez-a-ine-spevacky-kto-ma-rad-nech-sa-pripoji">selena gomez a ine spevacky kto ma rad nech sa pripoji</a> </div>	<div> <a title="vstup do klubu" href="/klub/autobazar-eu">autobazar.&shy;eu</a> </div>	null	<div> <a title="vstup do klubu" href="/klub/ked-ti-odomna-pride-pozvanka-mam-ta-rada">ked ti odomna pride pozvanka, mam ta rada :-*</a> &bull;  <a title="vstup do klubu" href="/klub/biele-vianoce-s-bielim-zajkom">biele vianoce s bielim zajkom</a> </div>	null	<div> <a title="vstup do klubu" href="/klub/kdo-ma-rad-zvieratka-sem">kdo ma rad zvieratka sem!</a> &bull;  <a title="vstup do klubu" href="/klub/cely-pokec-napchame-do-tohto-klubu">cely pokec napchame do tohto klubu!</a> &bull;  <a title="vstup do klubu" href="/klub/timea-raka">anjela.na.&shy;hviezdu</a> </div>	null	null	<div> <a title="vstup do klubu" href="/klub/napiste-co-bi-ste-chceli-zmenit-na-pokeci-alebo-na-profile">napiste co bi ste chceli zmenit na pokeci  alebo na profile</a> </div>	<div> <a title="vstup do klubu" href="/klub/fk-sokol-bravacovo-vs-fk-09-bacuch-d">fk sokol bravacovo vs fk 09 bacuch :d</a> &bull;  <a title="vstup do klubu" href="/klub/basketball-4-ever">basketball 4 ever</a> </div>	<div> <a title="vstup do klubu" href="/klub/disney-family-selena-gomez-miley-cyrus-demi-lovato-jonas-brothers">disney family-sel&shy;ena gomez, miley cyrus, demi lovato, jonas brothers, hsm-high school musical, suity life zack and cody....</a> &bull;  <a title="vstup do klubu" href="/klub/hello-kitty-a-vianoce">hello kitty a vianoce</a> </div>	null	<div> <a title="vstup do klubu" href="/klub/pomoc-vlasnim-zvieratkam-a-zajaco">pomoc vlasnim zvieratkam a zajaco</a> </div>	<div> <a title="vstup do klubu" href="/klub/superpsici">superpsici&shy;.sk</a> </div>	<div> <a title="vstup do klubu" href="/klub/happy-b-day-chelsea-staub">happy b-day chelsea staub ! :-*</a> </div>	
